word,count
climate,4283
research,1849
carbon,1722
change,1559
emissions,1209
governance,1105
srm,999
engineering,807
warming,773
world,680
technologies,669
energy,625
risks,604
ocean,602
technology,595
policy,594
university,593
dioxide,589
time,588
https,573
atmosphere,565
science,563
temperature,550
effects,535
radiation,526
water,525
%,523
impacts,522
people,517
ice,513
cdr,504
removal,473
years,459
scientists,449
report,446
paper,427
system,424
aerosol,421
air,414
management,410
earth,410
deployment,407
way,405
sea,404
year,396
project,395
gas,392
mitigation,391
use,385
model,373
greenhouse,372
countries,362
work,345
effect,338
development,327
scale,324
it’s,313
one,312
assessment,309
cost,306
surface,306
capture,302
andrew,299
level,299
risk,298
environment,298
models,296
future,292
cloud,292
aerosols,291
process,291
part,289
paris,289
changes,289
study,285
group,284
idea,283
temperatures,278
information,277
example,274
agreement,274
injection,274
geoengineering,272
al,272
ipcc,269
i,269
problem,268
stratosphere,267
issues,264
space,263
fossil,263
response,262
costs,262
harvard,258
need,258
point,258
efforts,257
approach,255
land,255
planet,254
arctic,251
c,251
funding,251
cooling,250
impact,249
action,249
article,247
sunlight,246
will,245
beccs,243
field,242
researchers,239
studies,239
increase,238
case,237
society,236
j,234
levels,232
experiments,232
program,229
rise,227
nature,225
issue,224
fuel,224
lockley,222
amount,221
storage,220
states,218
experiment,218
power,217
benefits,217
question,216
methods,214
particles,212
analysis,212
law,211
david,211
approaches,206
number,204
support,203
clouds,202
results,202
discussion,202
pm,202
ozone,200
questions,200
debate,197
heat,196
professor,195
reduction,193
projects,193
dac,192
order,190
role,189
place,188
scholar,188
committee,186
ce,186
sai,185
understanding,185
government,185
note,184
institute,184
un,182
community,181
precipitation,181
don’t,180
areas,180
range,180
state,179
sciences,178
can,178
consequences,176
times,175
food,174
scenarios,174
fact,174
resolution,173
right,172
fuels,171
solutions,171
things,170
http,170
concerns,170
production,169
something,168
online,167
nations,167
radiative,167
school,166
weather,166
solution,166
reef,165
techniques,165
adaptation,164
regions,164
justice,163
keith,163
systems,163
challenges,160
volcanic,160
proposals,158
soil,158
others,158
form,158
governments,157
terms,155
gases,155
experts,154
intervention,154
list,153
implications,152
scopex,152
knowledge,150
view,150
email,150
ways,149
panel,149
scenario,149
oceans,148
a,148
google,148
message,148
stephen,148
might,146
emission,146
effort,145
data,145
end,144
hi,144
evidence,144
p,143
decades,143
team,142
coral,142
control,142
it,141
cannot,141
modification,141
interest,139
sulfate,139
poster,139
},138
method,138
options,138
side,137
u.s,137
framework,137
area,137
means,135
plant,134
review,134
meeting,133
today,133
loss,133
conditions,133
plan,133
security,133
earth’s,133
ecosystems,133
decisions,132
term,132
argument,132
s,131
course,131
context,131
director,130
reductions,129
average,129
result,129
rate,129
politics,128
the,128
attention,127
cycle,126
innovation,126
set,125
lot,125
processes,124
modeling,124
ideas,122
economy,122
activities,122
initiative,122
growth,122
papers,122
[,122
spray,122
country,121
life,121
layer,120
century,120
concern,120
potential,119
policies,118
sulfur,117
plants,117
groups,117
peter,115
john,115
iron,114
ethics,114
anyone,114
eruptions,114
center,113
simulations,113
industry,113
etc,112
hope,112
goal,111
biochar,111
increases,111
source,111
b,111
degrees,110
convention,110
m,108
shows,108
sun,108
theory,108
measures,108
call,108
strategies,107
strategy,107
line,106
mean,106
problems,106
uk,106
reasons,106
health,105
china,105
world’s,105
reason,104
public,104
termination,104
position,104
parties,104
decision,103
november,103
albedo,103
target,103
d,102
following,102
patterns,102
discussions,102
e.g,101
policymakers,101
sequestration,101
events,100
mass,100
salt,99
degree,99
addition,99
design,99
aircraft,99
kind,99
uncertainties,99
summer,99
royal,99
this,98
responses,98
step,98
march,98
pollution,98
focus,97
interests,97
press,96
thing,96
eruption,95
institutions,95
cuts,95
interventions,95
that’s,94
type,94
proposal,94
working,94
conference,94
april,93
economics,93
carnegie,93
goals,92
california,92
species,92
anthropogenic,92
methane,92
dr,92
february,92
jan,91
chemistry,91
department,90
:https,90
period,90
damage,89
day,89
barrier,89
actions,89
sources,89
consideration,89
concentration,89
glaciers,89
hazard,89
centre,88
bit,88
percent,88
possibility,88
macmartin,87
re,87
matter,87
topic,87
december,87
challenge,87
decade,87
implementation,86
humans,86
acidification,86
cause,86
doesn’t,86
rights,85
resources,85
cirrus,85
cement,85
authors,85
h,84
ecosystem,84
media,84
capacity,84
uncertainty,84
geo,84
members,84
size,84
companies,83
january,83
anything,83
body,83
october,83
actors,83
feasibility,83
option,83
alternative,83
),83
et,83
points,82
parts,82
we’re,82
sustainability,82
oil,82
communities,82
access,82
robock,81
building,81
north,80
biodiversity,79
event,79
link,79
share,78
cambridge,78
amounts,78
michael,78
journal,78
difference,78
alan,78
1.5°c,78
he,78
material,78
renewable,78
bioenergy,78
publication,78
g,77
lead,77
e,77
business,77
news,77
tax,77
south,77
fertilization,77
biomass,77
forests,77
forms,76
threat,76
expert,76
planetary,76
applications,75
author,75
london,75
reports,75
l,74
book,74
materials,74
light,74
chemical,74
n,74
sg,74
week,74
melting,73
foundation,73
concentrations,73
leaders,73
institution,73
views,73
date,73
forum,73
conversation,72
sense,72
coal,72
programme,72
assessments,72
ability,72
situation,72
history,72
basis,72
company,71
total,71
douglas,71
electricity,71
application,71
scientist,71
deploy,71
geomip,70
american,70
experience,70
hand,70
post,70
thanks,70
benefit,70
r,70
india,70
series,70
crop,69
jul,69
activity,69
lack,69
version,69
concept,69
restoration,69
release,68
ones,68
aspects,68
values,68
literature,67
technique,67
nov,67
fellow,67
progress,67
glacier,67
june,67
carbonate,66
injections,66
agenda,66
session,66
societal,66
subject,66
rainfall,66
wind,66
assembly,66
feedback,66
protocol,66
value,65
investment,65
aim,65
draft,65
engagement,65
transport,65
member,65
show,65
types,64
money,64
stage,64
page,64
tons,64
york,64
sky,64
burning,63
unea,63
humanity,63
assumptions,63
account,63
",",63
forest,62
efficiency,62
“the,62
mike,62
organizations,62
war,62
shock,62
perspective,62
nets,62
regulation,61
ccs,61
agriculture,61
island,61
planes,61
ground,61
limit,61
antarctic,61
ghg,61
distribution,61
diversity,61
house,61
table,61
researcher,61
extent,60
places,60
perspectives,60
differences,60
market,60
emergency,60
schemes,60
marine,60
can’t,60
september,60
targets,59
crops,59
conflict,59
rates,59
half,59
estimates,59
celsius,59
opportunity,59
magnitude,59
's,59
unfccc,59
website,59
principles,58
recommendations,58
plans,58
ecology,58
council,58
nothing,58
budget,58
help,58
content,58
altitude,58
principle,58
crossref,58
months,58
price,58
expertise,58
t,58
everything,58
winter,57
opportunities,57
failure,57
numbers,57
de,57
turn,57
opinion,57
findings,57
population,57
"",57
thu,57
statement,57
act,57
start,57
mcb,56
washington,56
balance,56
crisis,56
w,56
president,56
pacific,56
days,56
launch,56
america,56
colleagues,56
advisory,56
hundreds,56
them,55
mechanisms,55
millions,55
majority,55
scales,55
look,55
conclusion,54
usa,54
everyone,54
africa,54
cover,54
consensus,54
computer,54
seawater,54
cbd,54
outcomes,54
i’m,54
claims,54
answer,53
mechanism,53
protection,53
choice,53
tonnes,53
city,53
objectives,53
physics,53
bodies,53
dynamics,53
address,53
in,53
words,52
wagner,52
details,52
oct,52
trees,52
sheets,52
aug,52
individuals,52
site,52
region,52
oxford,52
pinatubo,52
anthropocene,52
2°c,52
comment,52
(,51
web,51
someone,51
algae,51
legitimacy,51
capital,51
feb,51
union,51
