word,count
climate,4199
research,1778
carbon,1692
change,1365
emissions,1094
governance,1026
srm,941
engineering,769
warming,698
world,627
technologies,610
energy,605
ocean,577
dioxide,575
risks,568
university,566
policy,562
technology,550
time,542
https,533
science,532
temperature,530
%,523
radiation,513
water,504
effects,499
ice,492
people,490
impacts,488
cdr,475
atmosphere,462
removal,447
scientists,438
report,423
aerosol,418
paper,397
way,396
years,396
air,390
management,389
earth,386
system,386
gas,386
sea,385
greenhouse,371
project,367
mitigation,366
use,362
model,358
deployment,346
countries,333
year,328
work,318
development,312
it’s,311
effect,311
assessment,296
capture,292
one,290
part,289
cloud,288
andrew,287
paris,285
cost,284
scale,283
changes,280
group,278
study,278
surface,277
level,276
risk,275
aerosols,274
example,271
idea,270
information,269
models,266
injection,266
environment,265
ipcc,264
fossil,263
process,259
future,257
harvard,255
agreement,254
need,252
response,249
point,248
temperatures,247
funding,246
efforts,241
issues,240
will,240
impact,239
problem,238
arctic,237
land,236
approach,236
costs,235
cooling,232
article,232
researchers,230
planet,227
increase,227
beccs,226
studies,225
case,225
field,225
al.,225
action,224
sunlight,224
space,223
amount,221
stratosphere,220
society,218
fuel,212
nature,208
benefits,207
power,207
j.,206
experiment,205
geoengineering.,205
program,205
levels,204
particles,204
experiments,203
states,203
law,203
analysis,202
pm,201
question,200
storage,200
issue,199
methods,199
number,197
david,195
discussion,195
support,195
approaches,195
rise,193
lockley,192
ozone,189
scholar,188
order,187
results,187
heat,186
dac,186
role,185
questions,185
professor,185
understanding,184
note,184
clouds,184
debate,182
government,181
ce,181
reduction,181
un,181
don’t,180
committee,180
change.,178
institute,177
areas,175
fact,174
state,174
projects,173
sai,173
range,172
can,172
food,171
community,170
resolution,168
something,167
precipitation,167
sciences,167
radiative,165
things,163
online,163
times,162
weather,161
place,160
volcanic,160
keith,159
school,159
right,159
concerns,157
nations,156
scenarios,155
i,155
techniques,154
solution,154
http,154
proposals,153
solutions,152
adaptation,152
consequences,152
production,152
terms,151
governments,151
fuels,150
systems,149
form,148
experts,148
soil,148
others,147
panel,147
intervention,146
knowledge,146
email,145
scopex,145
stephen,145
might,145
emission,144
implications,142
message,142
google,141
coral,141
reef,141
end,141
regions,141
cannot,141
hi,140
poster,139
challenges,139
gases,138
team,138
effort,138
},138
evidence,137
sulfate,137
view,136
scenario,135
u.s.,135
control,135
justice,134
data,134
earth’s,133
side,132
framework,132
method,132
means,132
c,132
interest,130
ways,130
modification,130
plan,129
meeting,129
course,129
loss,129
plant,128
review,128
average,127
area,127
oceans,126
director,126
list,125
lot,125
rate,124
options,124
term,124
argument,124
context,123
security,122
result,122
set,122
s.,122
[,122
ecosystems,121
papers,121
reductions,120
attention,119
initiative,118
ideas,118
modeling,118
spray,117
today,116
p.,116
decisions,115
sulfur,115
processes,115
conditions,114
anyone,113
cycle,112
life,111
decades,111
c.,111
country,111
iron,111
concern,111
hope,110
activities,110
emissions.,110
policies,109
growth,109
john,109
politics,109
groups,109
potential,109
call,108
source,108
layer,107
convention,107
plants,106
simulations,105
economy,105
world’s,105
shows,105
innovation,105
degrees,104
center,103
mean,103
increases,103
november,103
china,102
peter,102
parties,102
theory,102
uk,102
strategy,101
e.g.,101
century,100
following,100
position,100
health,100
termination,100
albedo,100
line,99
ethics,99
addition,99
degree,99
biochar,99
strategies,99
royal,98
industry,98
target,98
reasons,98
salt,98
policymakers,98
kind,97
decision,97
a.,97
eruptions,97
focus,96
sun,96
discussions,96
design,96
reason,96
goal,96
problems,96
sequestration,95
measures,95
aircraft,95
step,95
march,95
mass,95
atmosphere.,94
