index,term,value
1,[geo] MCB/cirrus stripping with particle accelerators,17
2,[geo] Lomborg on Paris,17
3,[geo] Leaked policy draft of SR15 - what do you think?,16
4,[geo] Unexpectedly large impact of forest management and grazing on global vegetation biomass.,16
5,[geo] Generative adversarial networks,14
6,"[geo] The guardian: Geoengineering may be used to combat global warming, experts say",14
7,[geo] Geoengineering and Capitalism,14
8,[geo] Scientists Look to Bali Volcano for Clues to Curb Climate Change - Scientific American,14
9,[geo] SRM optical impacts,13
10,[geo] Intention matters in Climate Engineering,13
11,[geo] My CNN geoengineering question to Sen. Cory Booker,12
12,"[geo] [CDR] blog 28, Elon Musk vs regenerative development // Elon Musk vs le développement de régénération",12
13,[geo] Axios: Trump suggested dropping nuclear bombs into hurricanes to stop them from hitting the U.S.,11
14,[geo] Costs of climate change by US region,11
15,[geo] Cheap Carbon Capture,11
16,[geo] Do contrails warm or cool?,10
17,[geo] Fwd: Geoengineering and Capitalism,10
18,[geo] modification to cloud whitening process,10
19,[geo] Climate science foe Lamar Smith - geoengineering is ‘worth exploring.’,10
20,[geo] Media enquiry - Leaked IPCC report on land degradation/food security et alia,9
21,[geo] paywalls,9
22,[geo] A Critical Examination of Geoengineering. Economic and Technological Rationality in Social Context,9
23,[geo] Can anyone offer a CE perspective on this SLR article?,9
24,[CDR] [geo] Stopping the Flood: Could We Use Targeted Geoengineering to Mitigate Sea Level Rise?,8
25,[geo] Could this geoengineering venture help save the ice caps?,8
26,[geo] Chemtrails conspiracy theorists are sending death threats to climate scientists – VICE News,8
27,[geo] “Micro-climate engineering” green roofs in cities,8
28,[geo] First simulations of designing stratospheric sulfate aerosol geoengineering to meet multiple simultaneous climate objectives - Kravitz - 2017 - Journal of Geophysical Research: Atmospheres - Wiley Online Library,8
29,[geo] Why I am proud to commercialize DAC while I oppose any commercial work on solar geoengineering - Keith,7
30,[geo] Heinrich Boell evidence to UNEP,7
31,[geo] Stratospheric aerosol injection tactics and costs in the first 15 years of deployment - IOPscience,7
32,[geo] Hurricane moderation,7
33,[geo] Stopping the Flood: Could We Use Targeted Geoengineering to Mitigate Sea Level Rise?,7
34,[geo] [CDR] Medium Is Geoengineering an Immorality of Last Resort?,7
35,[geo] (must read) Upper tropospheric ice sensitivity to sulfate geoengineering,7
36,[geo] Recent Climate Fiction on primetime American TV,7
37,[geo] On when it might make sense for intervention to begin,7
38,"[geo] Here's a published article demanding ""humanity must: (1) Abruptly halt tropospheric particulate geoengineering""",6
39,[geo] Fake news,6
40,[geo] Geoengineering Research and Governance 'Manifesto',6
41,[geo] Parliamentary Questions and Answers,6
42,[geo] Effects of global warming and solar geoengineering on precipitation seasonality,6
43,[geo] current state of the science,6
44,[geo] ABECCS,6
45,[geo] [AMEG 12806] Progress towards truth and appropriate action,6
46,FW: [geo] Stopping the Flood: Could We Use Targeted Geoengineering to Mitigate Sea Level Rise?,6
47,[geo] New paper on counter-geoengineering,6
48,[geo] detecting problems with SRM,6
49,[geo] Should we lump MCB & Stratospheric SRM as equally risky?,6
50,[geo] [CDR] SRM and CDR - The risk of termination shock from solar geoengineering,6
51,[geo] A Radical New Scheme to Prevent Catastrophic Sea-Level Rise,6
52,[geo] VEI vs cooling,6
53,[geo] [CDR] The International Conference on Negative CO2 Emissions » 22-24 May 2018,6
54,[geo] ?Micro-climate engineering? green roofs in cities,6
55,[geo] Green New Deal For Europe and Geoengineering,5
56,[geo] Dezeen: Iceberg-making submarine aims to tackle global warming by re-freezing the Arctic,5
57,[geo] titanium dioxide,5
58,[geo] Worldward,5
59,[geo] [CDR] Governing Geoengineering at the United Nations?,5
60,[geo] Developing a Research Agenda and Research Governance Approaches for Climate Intervention Strategies that Reflect Sunlight to Cool Earth,5
61,"[geo] Activism and Neoliberalism: Two Sides of Geoengineering Discourse: Capitalism Nature Socialism: Vol 0, No 0",5
62,[geo] [CDR] COP24: here's what must be agreed to keep warming at 1.5°C,5
63,[geo] Exploring accumulation-mode-H2SO4 versus SO2 stratospheric sulfate geoengineering in a sectional aerosol-chemistry-climate model,5
64,[geo] Mimicking the poles,5
65,[geo] div-class-title-market-level-implications-of-regulating-forest-carbon-storage-and-albedo-for-climate-change-mitigation-div.pdf,5
66,[geo] Can We Use Linear Response Theory to Assess Geoengineering Strategies?,5
67,[geo] Estimating global agricultural effects of geoengineering using volcanic eruptions,5
68,[geo] Sea surface temperatures Japan,5
69,[geo] (really quite astonishing) Tweet from Dr Naomi Wolf (@naomirwolf),5
70,[geo] Fwd: Geoengineering Updates: Governance and Experiments,5
71,[geo] Could resurrecting the mammoth help stop Arctic emissions?,5
72,[geo] annual per capita cost of geoengineering,5
73,[geo] [CDR] Going natural,5
74,[CDR] [geo] Unexpectedly large impact of forest management and grazing on global vegetation biomass.,5
75,[geo] Chemtrailers...,5
76,[geo] Can we refreeze the Arctic? – live-streamed panel discussion on Climate Engineering Governance,5
77,"[geo] Subcommittee on Environment and Subcommittee on Energy Hearing - Geoengineering: Innovation, Research, and Technology",5
78,[geo] Geostorm,5
79,[geo] Idea for rising sea level,4
80,[geo] Could geoengineering cause a climate war,4
81,"[geo] Risks of Controversial Geoengineering Approach ""May Be Overstated"" - Scientific American",4
82,[geo] EDF - our position on geoengineering,4
83,[geo] High Level Review of a Wide Range of Proposed Marine Geoengineering Techniques,4
84,[geo] [CDR] N2O geoengineering,4
85,[geo] Falling public interest in SRM,4
86,"[geo] Recognitional Justice, Climate Engineering, and the Care Approach",4
87,[geo] Geoengineering and Climate Change – Whitman Wire,4
88,"[geo] LESS RAIN BUT STILL WETTER AND GREENER? October 9, 2018 By Pete Irvine, @peteirvine",4
89,[geo] Geoengineering and diversity,4
90,[geo] Tropopipe - the updraft tower that can cool the planet and create clouds,4
91,[geo] Ramp down,4
92,[geo] Fw: [CDR] Pirates of the Pacific,4
93,[geo] Sea surface temperatures Japan other factors,4
94,[geo] Fwd: DECIMALS Fund – call for proposals opens today,4
95,[geo] Reverse termination shock,4
96,[geo] Soil carbon capture will not save us,4
97,[geo] Federal Budget Bill Includes Massive Tax Credits for Carbon Capture,4
